NIFTY 200,9579.3,9602.7,9554.25,9556.6,9630.15,-73.55
LUPIN,717.2,754,717.2,731.5,694.25,37.25
GODREJPROP,1165,1229.1,1154.25,1221.1,1169.7,51.4
UNIONBANK,65,67.2,64.05,66.5,64.05,2.45
ABB,3103.9,3240,3054.5,3195.2,3103.9,91.3
COLPAL,1584.4,1645,1584.4,1623.35,1584.4,38.95
SUNTV,553,568.5,553,564.4,553.9,10.5
HEROMOTOCO,2651.45,2698,2626.35,2696.9,2651.5,45.4
PETRONET,210.8,218.8,210.45,212.85,209.35,3.5
DRREDDY,4539.95,4616,4528.55,4600.2,4534.9,65.3
BHEL,74.7,76.4,74.35,75.75,74.8,0.95
MRF,87017.45,88347.8,85100,87900,87017.45,882.55
IGL,416,423.45,413.8,420.7,416.65,4.05
GSPL,230.05,233.8,229.95,232.2,230.05,2.15
TORNTPHARM,1657,1688,1645.35,1665.95,1651.7,14.25
LTI,4788.45,4889,4788.45,4878,4837.05,40.95
BHARTIARTL,819.8,827.9,817.55,825.4,819.05,6.35
HINDUNILVR,2504,2538,2501.05,2528,2508.8,19.2
ABBOTINDIA,19219.95,19570,19143.75,19331.7,19222.25,109.45
CIPLA,1130,1152,1128.2,1135.6,1129.4,6.2
POLYCAB,2682.9,2736.75,2670.5,2701.15,2686.6,14.55
KOTAKBANK,1895,1909.9,1891.7,1903.05,1893.4,9.65
ONGC,137.5,140.85,137.4,139.3,138.65,0.65
ISEC,540,548.7,536.3,543.75,541.25,2.5
INDHOTEL,337,340.45,331.85,339,337.5,1.5
COALINDIA,257.95,260.5,253.3,256.9,255.8,1.1
HINDPETRO,204.9,206,204.35,205.35,204.5,0.85
DIVISLAB,3298.75,3346.9,3290.05,3312.4,3298.75,13.65
BAJAJ-AUTO,3739.55,3770,3730.15,3754.6,3739.55,15.05
SIEMENS,2916.2,2935.15,2886.9,2927.25,2916.4,10.85
ESCORTS,1989,2062.85,1988,1993.75,1987.5,6.25
HCLTECH,1050,1057.75,1047.05,1056.65,1053.45,3.2
LAURUSLABS,448,458.65,447.35,452,450.75,1.25
COFORGE,3646.9,3713.25,3640,3689.55,3680.8,8.75
ADANITRANS,3273.15,3307.5,3243.4,3295,3290,5
HINDZINC,292.15,293.55,289.25,292.4,292.15,0.25
IOC,69.45,69.85,69.4,69.6,69.55,0.05
LTTS,3589.9,3659,3581,3622.7,3620.65,2.05
HDFCBANK,1497.1,1509.65,1495.05,1509,1508.35,0.65
OIL,195,197.5,195,196.1,196.05,0.05
IDFCFIRSTB,57.4,58.5,57.25,57.4,57.4,0
IDEA,8.5,8.75,8.45,8.5,8.5,0
OFSS,3011,3043,3011,3026.6,3027.65,-1.05
LICHSGFIN,378.4,382.95,376.5,379.05,379.3,-0.25
BHARATFORG,881.8,887,870,878.4,879,-0.6
MOTHERSON,68.5,69.35,67.85,68.25,68.3,-0.05
UPL,754.95,758.4,748.05,753,753.6,-0.6
INDIAMART,4764.8,4824,4760,4801,4805.05,-4.05
BIOCON,277.95,283,277.8,278.95,279.2,-0.25
TCS,3170,3225,3170,3213.15,3216.05,-2.9
COROMANDEL,943.6,951,934.9,941.75,942.6,-0.85
GUJGASLTD,504.75,512.4,504.75,506.4,507,-0.6
CUMMINSIND,1355.15,1368.65,1342.6,1349.1,1350.8,-1.7
ICICIBANK,907.55,912.95,904.75,908.85,910.5,-1.65
FEDERALBNK,137.7,139.7,137.2,137.8,138.1,-0.3
DMART,4158.7,4175,4140.05,4149.2,4158.7,-9.5
HDFCLIFE,531.75,534.5,529.65,530.5,531.75,-1.25
MARICO,503.85,503.95,498.25,500.85,502.25,-1.4
SUNPHARMA,1010,1022.3,1006.75,1010.7,1013.55,-2.85
ADANIENT,3995,4030,3962.15,3985.9,3997.2,-11.3
VBL,1152.3,1152.3,1131.4,1144.7,1148.05,-3.35
MCDOWELL-N,877.1,882,870.15,873.8,876.7,-2.9
INDIANB,267.85,270,265,266.55,267.45,-0.9
TECHM,1015,1028,1005.25,1025.2,1028.7,-3.5
NESTLEIND,20299.6,20400,20110.8,20248,20319.9,-71.9
HAVELLS,1185,1207.95,1183.1,1198.5,1203.05,-4.55
ABFRL,312,312.3,307.4,311,312.25,-1.25
INFY,1485,1508,1485,1505.15,1511.2,-6.05
LINDEINDIA,3180,3210.95,3157.1,3163.1,3177.05,-13.95
ALKEM,3170,3217.7,3165,3173.15,3187.5,-14.35
GAIL,88.5,89.2,87.95,88.2,88.6,-0.4
PGHH,13999.9,13999.9,13808,13863.35,13930.2,-66.85
WIPRO,388.8,391.1,388,389.05,390.95,-1.9
MAXHEALTH,459.9,460.95,455.35,455.95,458.25,-2.3
VEDL,304.4,309.75,304,306.05,307.6,-1.55
EMAMILTD,464.8,472.95,461.5,463.9,466.3,-2.4
MSUMI,83,83.15,81.35,82.55,83,-0.45
HDFC,2480.2,2501.15,2467.8,2489.9,2503.5,-13.6
TATACOMM,1320.65,1325.4,1305,1314.55,1321.95,-7.4
TTML,101.2,101.5,100,100.6,101.2,-0.6
JSWSTEEL,699.8,705.6,697.2,702.25,706.55,-4.3
ACC,2428,2464,2411.6,2423.35,2438.35,-15
NAVINFLUOR,4439.9,4444.5,4389.1,4411.5,4440.4,-28.9
ASTRAL,2088.75,2103.5,2063.1,2078.3,2092.5,-14.2
BPCL,306,307.95,304.2,304.75,306.85,-2.1
INDIGO,1725.55,1729.45,1700,1706.95,1718.75,-11.8
PIDILITIND,2600,2671.95,2600,2633.95,2652.25,-18.3
HINDALCO,415.3,420.4,412.75,414.2,417.1,-2.9
ZYDUSLIFE,448.4,454.05,442.8,445.25,448.4,-3.15
NAUKRI,3882.8,3894.55,3850,3855.3,3882.8,-27.5
WHIRLPOOL,1509.8,1509.8,1483.6,1492.45,1503.3,-10.85
TATACONSUM,770,771.7,762.05,764.55,770.15,-5.6
AMBUJACEM,563,568.4,558,560.35,564.5,-4.15
JSWENERGY,327,329.7,325,326,328.5,-2.5
NYKAA,167,189,165.65,175.35,1060.3,-1.35
M&MFIN,219.9,224.65,219.15,219.3,221,-1.7
TATAPOWER,231.2,233.4,229.4,229.55,231.35,-1.8
BERGEPAINT,588.7,589,581.5,584,588.7,-4.7
UBL,1677,1685.95,1653.75,1663.5,1676.9,-13.4
MUTHOOTFIN,1114.9,1133.9,1104.55,1108.55,1118,-9.45
TVSMOTOR,1144.7,1144.7,1123.6,1135,1144.75,-9.75
INDUSTOWER,192.4,195.45,191.1,191.2,192.85,-1.65
IPCALAB,890,898.25,883.5,884,891.65,-7.65
BOSCHLTD,17101,17301,17030.1,17075,17223.6,-148.6
SRTRANSFIN,1269.8,1290,1262.35,1264.05,1275.3,-11.25
RELIANCE,2590,2596.55,2565.2,2581,2604,-23
DABUR,551,554.9,548,549.25,554.15,-4.9
ZEEL,262,263.55,259.6,260.1,262.45,-2.35
CONCOR,812.8,819,802.05,802.4,809.65,-7.25
BRITANNIA,4152.6,4189.65,4128,4137.25,4175.35,-38.1
ULTRACEMCO,6895,6895,6790,6839.6,6903.5,-63.9
TATASTEEL,105.2,106,104.7,105.1,106.1,-1
POONAWALLA,317.8,322.45,316.1,316.3,319.35,-3.05
EICHERMOT,3739.4,3739.4,3636.1,3697.05,3732.95,-35.9
TORNTPOWER,505.3,510.9,498.85,500.7,505.65,-4.95
HDFCAMC,2096,2099.8,2077.55,2079,2099.8,-20.8
LT,1995,2001.85,1973.15,1982.7,2003.5,-20.8
GLAND,1775,1783.45,1745,1753,1771.65,-18.65
PFC,118,118.25,116.75,117,118.25,-1.25
PRESTIGE,464,464,451.9,454.3,459.2,-4.9
LICI,635,635,623.5,624.55,631.3,-6.75
SHREECEM,23000,23072.9,22729.1,22833.05,23081.7,-248.65
CROMPTON,357.05,357.3,352.65,353.5,357.35,-3.85
LALPATHLAB,2389.9,2389.95,2316.05,2379,2405.8,-26.8
TATAELXSI,6990,6990.25,6893,6919.9,6999.5,-79.6
L&TFH,82.5,84.5,81.35,81.55,82.5,-0.95
DIXON,4521.05,4548,4478.7,4487.45,4539.85,-52.4
PAGEIND,49720,49720,48710.05,49000.15,49581.45,-581.3
ASIANPAINT,3086,3086,3045.75,3049.85,3086.5,-36.65
RECLTD,100.4,100.4,99,99.65,100.85,-1.2
AWL,684,688.2,678,680.5,688.7,-8.2
SYNGENE,613.3,622.5,611.05,611.95,619.35,-7.4
BANKBARODA,166,168.15,164.05,164.3,166.3,-2
BAJFINANCE,7158,7165,7051.2,7057.95,7144,-86.05
